# n insertion_us merge_us
2 0.100 0.300
4 0.000 0.300
6 0.100 0.300
8 0.100 0.400
10 0.100 0.500
12 0.200 0.500
14 0.100 0.700
16 0.200 0.600
18 0.200 0.700
20 0.200 0.600
22 0.200 0.900
24 0.300 0.700
26 0.300 0.900
28 0.300 0.900
30 0.400 1.000
32 0.400 0.900
34 0.500 1.100
36 0.500 1.100
38 0.600 1.100
40 0.600 1.100
42 0.600 1.400
44 0.600 1.300
46 0.700 1.300
48 0.700 1.300
50 0.700 1.500
52 0.800 1.600
54 0.800 1.600
56 0.900 1.600
58 0.800 1.700
60 0.900 1.700
62 0.900 1.700
64 1.000 1.800
66 1.000 2.000
68 1.100 2.000
70 1.100 2.000
72 1.200 2.000
74 1.300 2.100
76 1.300 2.100
78 1.200 2.200
80 1.300 2.200
82 1.300 2.400
84 1.400 2.500
86 1.400 2.500
88 1.500 2.400
90 1.700 2.600
92 1.800 2.600
94 1.700 2.700
96 1.800 2.600
98 1.800 2.800
100 1.900 2.800
102 2.000 2.900
104 2.000 3.000
106 2.100 3.100
108 2.300 3.100
110 2.200 3.100
112 2.200 3.100
114 2.300 3.300
116 2.300 3.200
118 2.500 3.300
120 2.500 3.400
122 2.600 3.600
124 2.600 3.500
126 2.800 3.500
128 2.800 3.500
130 3.000 3.800
132 2.800 3.800
134 2.900 3.800
136 3.100 3.900
138 3.200 4.000
140 3.100 3.900
142 3.300 4.000
144 3.400 3.900
146 3.200 4.200
148 3.500 4.100
150 3.500 4.300
152 4.100 4.200
154 3.400 4.400
156 3.800 4.300
158 3.700 4.500
160 3.700 4.500
162 4.200 4.700
164 4.000 4.700
166 4.400 4.800
168 4.300 4.800
170 4.200 4.900
172 4.400 4.900
174 4.100 4.900
176 4.800 4.800
178 4.700 5.100
180 5.100 5.100
182 4.800 5.200
184 4.700 5.200
186 6.100 5.300
188 5.300 5.400
190 4.900 6.500
192 5.500 5.400
194 5.500 5.600
196 6.400 5.700
198 6.400 5.800
200 5.900 5.700
202 5.800 5.900
204 5.500 5.900
206 5.800 7.200
208 6.100 6.000
210 6.300 6.200
212 7.500 6.100
214 6.200 6.200
216 6.500 6.100
218 6.600 6.400
220 6.700 6.100
222 6.800 7.400
224 6.700 6.200
226 6.900 6.500
228 6.800 6.500
230 7.000 6.600
232 7.100 6.700
234 7.900 6.800
236 8.600 6.700
238 9.100 6.900
240 7.900 6.800
242 7.600 7.000
244 8.000 6.900
246 7.900 7.000
248 8.300 7.000
250 8.400 7.100
252 8.000 7.000
254 8.300 7.200
256 9.000 7.100
258 8.800 7.500
260 9.100 7.400
262 9.200 8.800
264 9.100 7.600
266 9.400 7.700
268 9.800 7.800
270 10.000 8.000
272 9.100 7.800
274 9.800 8.000
276 9.800 7.900
278 9.900 8.000
280 10.000 8.000
282 10.100 8.200
284 10.500 8.000
286 13.600 8.200
288 13.300 8.000
290 10.600 8.300
292 11.000 8.400
294 11.100 8.600
296 11.200 8.500
298 11.200 8.700
300 11.300 8.600
302 11.300 8.900
304 11.300 8.700
306 12.000 8.900
308 11.800 8.800
310 12.100 9.000
312 11.700 8.800
314 12.400 9.000
316 13.000 8.900
318 12.200 9.100
320 12.600 9.000
322 13.000 9.400
324 12.100 9.300
326 13.700 9.500
328 16.200 9.500
330 13.900 9.700
332 14.100 9.600
334 13.900 9.800
336 14.300 9.600
338 13.900 9.900
340 14.200 9.800
342 14.100 9.900
344 14.500 9.800
346 15.300 9.900
348 15.000 9.900
350 15.000 10.100
352 15.600 9.900
354 14.900 10.300
356 15.200 10.200
358 15.500 10.400
360 15.400 10.300
362 16.000 10.500
364 15.600 10.400
366 16.600 10.700
368 16.200 10.700
370 16.200 10.700
372 17.400 10.700
374 17.500 10.700
376 16.800 10.700
378 17.200 10.800
380 17.300 10.800
382 17.500 10.900
384 17.600 10.900
386 17.600 11.200
388 17.600 11.200
390 18.400 12.400
392 18.200 11.300
394 18.700 11.500
396 19.000 11.600
398 19.100 11.700
400 20.000 11.700
402 24.300 11.900
404 19.200 11.800
406 20.000 11.900
408 19.300 11.900
410 19.300 12.100
412 20.100 12.100
414 20.300 12.200
416 20.700 12.100
418 20.900 12.300
420 21.000 12.300
422 30.400 12.800
424 22.300 12.400
426 20.800 12.500
428 21.700 12.500
430 21.200 12.700
432 21.300 12.600
434 21.700 12.700
436 21.400 12.600
438 22.500 12.600
440 23.000 12.500
442 23.100 12.700
444 24.700 12.700
446 23.700 12.800
448 29.100 12.800
450 22.500 13.000
452 23.200 13.100
454 24.500 13.100
456 23.700 13.300
458 24.800 13.300
460 25.100 13.400
462 24.900 13.500
464 25.200 13.600
466 25.000 13.800
468 26.300 13.700
470 32.400 13.700
472 25.800 13.800
474 25.500 13.900
476 26.600 14.000
478 26.100 14.100
480 33.500 14.000
482 26.300 14.100
484 26.500 14.000
486 28.000 15.200
488 27.600 14.100
490 26.400 14.200
492 28.200 14.200
494 26.600 14.200
496 28.200 14.200
498 29.700 14.300
500 28.900 14.300
